ST,City  - Station Code
SD,ABERDEEN-KABR
NM,ALBUQUERQUE-KABX
VA,NORFOLK RICH-KAKQ
TX,AMARILLO-KAMA
FL,MIAMI-KAMX
MI,GAYLORD-KAPX
WI,LA CROSSE-KARX
WA,SEATTLE-KATX
CA,BEALE AFB-KBBX
NY,BINGHAMTON-KBGM
CA,EUREKA-KBHX
ND,BISMARCK-KBIS
MT,BILLINGS-KBLX
AL,BIRMINGHAM-KBMX
MA,BOSTON-KBOX
TX,BROWNSVILLE-KBRO
NY,BUFFALO-KBUF
FL,KEY WEST-KBYX
SC,COLUMBIA-KCAE
ME,HOULTON-KCBW
ID,BOISE-KCBX
PA,STATE COLLEGE-KCCX
OH,CLEVELAND-KCLE
SC,CHARLESTON-KCLX
OK,ROC FAA REDUNDANT RDA 1-KCRI
TX,CORPUS CHRISTI-KCRP
VT,BURLINGTON-KCXX
WY,CHEYENNE-KCYS
CA,SACRAMENTO-KDAX
KS,DODGE CITY-KDDC
TX,LAUGHLIN AFB-KDFX
MS,JACKSON BRANDON-KDGX
NJ,PHILADELPHIA-KDIX
MN,DULUTH-KDLH
IA,DES MOINES-KDMX
DE,DOVER AFB-KDOX
MI,DETROIT-KDTX
IA,DAVENPORT-KDVN
TX,DYESS AFB-KDYX
MO,KANSAS CITY-KEAX
AZ,TUCSON-KEMX
NY,ALBANY-KENX
AL,FORT RUCKER-KEOX
NM,EL PASO-KEPZ
NV,LAS VEGAS-KESX
FL,EGLIN AFB-KEVX
TX,AUSTIN SAN ANTONIO-KEWX
CA,EDWARDS-KEYX
VA,ROANOKE-KFCX
OK,ALTUS AFB-KFDR
NM,CANNON AFB-KFDX
GA,ATLANTA-KFFC
SD,SIOUX FALLS-KFSD
AZ,FLAGSTAFF-KFSX
CO,DENVER FRONT RANGE AP-KFTG
TX,DALLAS-KFWS
MT,GLASGOW-KGGW
CO,GRAND JUNCTION-KGJX
KS,GOODLAND-KGLD
WI,GREEN BAY-KGRB
TX,FORT HOOD-KGRK
MI,GRAND RAPIDS-KGRR
SC,GREER-KGSP
MS,COLUMBUS AFB-KGWX
ME,PORTLAND-KGYX
NM,HOLLOMAN AFB-KHDX
TX,HOUSTON-KHGX
CA,SAN JOAQUIN VALLEY-KHNX
KY,FORT CAMPBELL-KHPX
AL,HUNTSVILLE-KHTX
KS,WICHITA-KICT
UT,CEDAR CITY-KICX
OH,CINCINNATI-KILN
IL,LINCOLN-KILX
IN,INDIANAPOLIS-KIND
OK,TULSA-KINX
AZ,PHOENIX-KIWA
IN,FORT WAYNE-KIWX
FL,JACKSONVILLE-KJAX
GA,ROBINS AFB-KJGX
KY,JACKSON-KJKL
TX,LUBBOCK-KLBB
LA,LAKE CHARLES-KLCH
WA,LANGLEY HILL NW WASHINGTON-KLGX
LA,NEW ORLEANS-KLIX
NE,NORTH PLATTE-KLNX
IL,CHICAGO-KLOT
NV,ELKO-KLRX
MO,ST LOUIS-KLSX
NC,WILMINGTON-KLTX
KY,LOUISVILLE-KLVX
VA,STERLING-KLWX
AR,LITTLE ROCK-KLZK
TX,MIDLAND ODESSA-KMAF
OR,MEDFORD-KMAX
ND,MINOT AFB-KMBX
NC,MOREHEAD CITY-KMHX
WI,MILWAUKEE-KMKX
FL,MELBOURNE-KMLB
AL,MOBILE-KMOB
MN,MINNEAPOLIS-KMPX
MI,MARQUETTE-KMQT
TN,KNOXVILLE-KMRX
MT,MISSOULA-KMSX
UT,SALT LAKE CITY-KMTX
CA,SAN FRANCISCO-KMUX
ND,GRAND FORKS-KMVX
AL,MAXWELL AFB-KMXX
CA,SAN DIEGO-KNKX
TN,MEMPHIS-KNQA
NE,OMAHA-KOAX
TN,NASHVILLE-KOHX
NY,NEW YORK CITY-KOKX
WA,SPOKANE-KOTX
OK,NORMAN NSSL-KOUN
KY,PADUCAH-KPAH
PA,PITTSBURGH-KPBZ
OR,PENDLETON-KPDT
LA,FORT POLK-KPOE
CO,PUEBLO-KPUX
NC,RALEIGH DURHAM-KRAX
NV,RENO-KRGX
WY,RIVERTON-KRIW
WV,CHARLESTON-KRLX
OR,PORTLAND-KRTX
ID,POCATELLO-KSFX
MO,SPRINGFIELD-KSGF
LA,SHREVEPORT-KSHV
TX,SAN ANGELO-KSJT
CA,SANTA ANA MOUNTAINS-KSOX
AR,FORT SMITH-KSRX
FL,TAMPA-KTBW
MT,GREAT FALLS-KTFX
FL,TALLAHASSEE-KTLH
OK,OKLAHOMA CITY-KTLX
KS,TOPEKA-KTWX
NY,FORT DRUM-KTYX
SD,RAPID CITY-KUDX
NE,HASTINGS-KUEX
GA,MOODY AFB-KVAX
CA,VANDENBERG AFB-KVBX
OK,VANCE AFB-KVNX
CA,LOS ANGELES-KVTX
IN,EVANSVILLE-KVWX
AZ,YUMA-KYUX
,LAJES AB-LPLA
AK,BETHEL FAA-PABC
AK,SITKA-PACG
AK,NOME-PAEC
AK,ANCHORAGE-PAHG
AK,MIDDLETON ISLAND-PAIH
AK,KING SALMON-PAKC
AK,FAIRBANKS-PAPD
GU,ANDERSEN AFB AGANA-PGUA
HI,SOUTH KAUAI-PHKI
HI,KAMUELA-PHKM
HI,MOLOKAI-PHMO
HI,SOUTH SHORE-PHWA
,KUNSAN-RKJK
,CAMP HUMPHREYS-RKSG
,KADENA-RODN
MD,ANDREWS AFB-TADW
GA,ATLANTA-TATL
TN,NASHVILLE-TBNA
MA,BOSTON-TBOS
MD,BALTIMORE WASHINGTON-TBWI
NC,CHARLOTTE-TCLT
OH,COLUMBUS-TCMH
KY,COVINGTON-TCVG
TX,DALLAS LOVE FIELD-TDAL
OH,DAYTON-TDAY
MD,WASHINGTON NATIONAL-TDCA
CO,DENVER-TDEN
TX,DALLAS FT WORTH-TDFW
MI,DETROIT-TDTW
NJ,NEWARK-TEWR
FL,FT LAUDERDALE-TFLL
TX,HOUSTON HOBBY-THOU
VA,WASHINGTON DULLES-TIAD
TX,HOUSTON INTERNATIONAL-TIAH
KS,WICHITA-TICH
IN,INDIANAPOLIS-TIDS
PR,RAFAEL HERNANDEZ AIRPORT-TJBQ
NY,NEW YORK CITY JFK-TJFK
PR,JOSE APONTE DE LA TORRE AIRPOR-TJRV
PR,SAN JUAN-TJUA
NV,LAS VEGAS-TLAS
OH,CLEVELAND-TLVE
MO,KANSAS CITY-TMCI
FL,ORLANDO INTERNATIONAL-TMCO
IL,CHICAGO MIDWAY-TMDW
MS,MEMPHIS-TMEM
FL,MIAMI-TMIA
WI,MILWAUKEE-TMKE
MN,MINNEAPOLIS-TMSP
LA,NEW ORLEANS-TMSY
OK,NORMAN WFO-TOKC
IL,CHICAGO OHARE-TORD
FL,WEST PALM BEACH-TPBI
NJ,PHILADELPHIA-TPHL
AZ,PHOENIX-TPHX
PA,PITTSBURGH-TPIT
NC,RALEIGH-TRDU
