,Year,Month,Day,Station_Name
0,2023,1,1,FOP1
1,2023,1,1,KABR
2,2023,1,1,KABX
3,2023,1,1,KAKQ
4,2023,1,1,KAMA
5,2023,1,1,KAMX
6,2023,1,1,KAPX
7,2023,1,1,KARX
8,2023,1,1,KATX
9,2023,1,1,KBBX
10,2023,1,1,KBGM
11,2023,1,1,KBHX
12,2023,1,1,KBIS
13,2023,1,1,KBLX
14,2023,1,1,KBMX
15,2023,1,1,KBOX
16,2023,1,1,KBRO
17,2023,1,1,KBUF
18,2023,1,1,KBYX
19,2023,1,1,KCAE
20,2023,1,1,KCBW
21,2023,1,1,KCBX
22,2023,1,1,KCCX
23,2023,1,1,KCLE
24,2023,1,1,KCLX
25,2023,1,1,KCRP
26,2023,1,1,KCXX
27,2023,1,1,KCYS
28,2023,1,1,KDAX
29,2023,1,1,KDDC
30,2023,1,1,KDFX
31,2023,1,1,KDGX
32,2023,1,1,KDIX
33,2023,1,1,KDLH
34,2023,1,1,KDMX
35,2023,1,1,KDOX
36,2023,1,1,KDTX
37,2023,1,1,KDVN
38,2023,1,1,KDYX
39,2023,1,1,KEAX
40,2023,1,1,KEMX
41,2023,1,1,KENX
42,2023,1,1,KEOX
43,2023,1,1,KEPZ
44,2023,1,1,KESX
45,2023,1,1,KEVX
46,2023,1,1,KEWX
47,2023,1,1,KEYX
48,2023,1,1,KFCX
49,2023,1,1,KFDR
50,2023,1,1,KFDX
51,2023,1,1,KFFC
52,2023,1,1,KFSD
53,2023,1,1,KFSX
54,2023,1,1,KFTG
55,2023,1,1,KFWS
56,2023,1,1,KGGW
57,2023,1,1,KGJX
58,2023,1,1,KGLD
59,2023,1,1,KGRB
60,2023,1,1,KGRK
61,2023,1,1,KGRR
62,2023,1,1,KGWX
63,2023,1,1,KGYX
64,2023,1,1,KHDX
65,2023,1,1,KHGX
66,2023,1,1,KHNX
67,2023,1,1,KHTX
68,2023,1,1,KICT
69,2023,1,1,KICX
70,2023,1,1,KILN
71,2023,1,1,KILX
72,2023,1,1,KIND
73,2023,1,1,KINX
74,2023,1,1,KIWA
75,2023,1,1,KIWX
76,2023,1,1,KJAX
77,2023,1,1,KJGX
78,2023,1,1,KJKL
79,2023,1,1,KLBB
80,2023,1,1,KLCH
81,2023,1,1,KLGX
82,2023,1,1,KLIX
83,2023,1,1,KLNX
84,2023,1,1,KLOT
85,2023,1,1,KLRX
86,2023,1,1,KLSX
87,2023,1,1,KLTX
88,2023,1,1,KLVX
89,2023,1,1,KLWX
90,2023,1,1,KLZK
91,2023,1,1,KMAF
92,2023,1,1,KMAX
93,2023,1,1,KMBX
94,2023,1,1,KMHX
95,2023,1,1,KMKX
96,2023,1,1,KMLB
97,2023,1,1,KMOB
98,2023,1,1,KMPX
99,2023,1,1,KMQT
100,2023,1,1,KMRX
101,2023,1,1,KMSX
102,2023,1,1,KMTX
103,2023,1,1,KMUX
104,2023,1,1,KMVX
105,2023,1,1,KMXX
106,2023,1,1,KNKX
107,2023,1,1,KNQA
108,2023,1,1,KOAX
109,2023,1,1,KOHX
110,2023,1,1,KOKX
111,2023,1,1,KOTX
112,2023,1,1,KPAH
113,2023,1,1,KPBZ
114,2023,1,1,KPDT
115,2023,1,1,KPOE
116,2023,1,1,KPUX
117,2023,1,1,KRAX
118,2023,1,1,KRGX
119,2023,1,1,KRIW
120,2023,1,1,KRLX
121,2023,1,1,KRTX
122,2023,1,1,KSFX
123,2023,1,1,KSGF
124,2023,1,1,KSHV
125,2023,1,1,KSJT
126,2023,1,1,KSOX
127,2023,1,1,KSRX
128,2023,1,1,KTBW
129,2023,1,1,KTFX
130,2023,1,1,KTLH
131,2023,1,1,KTLX
132,2023,1,1,KTWX
133,2023,1,1,KTYX
134,2023,1,1,KUDX
135,2023,1,1,KUEX
136,2023,1,1,KVAX
137,2023,1,1,KVBX
138,2023,1,1,KVNX
139,2023,1,1,KVTX
140,2023,1,1,KVWX
141,2023,1,1,KYUX
142,2023,1,1,PACG
143,2023,1,1,PAEC
144,2023,1,1,PAHG
145,2023,1,1,PAKC
146,2023,1,1,PAPD
147,2023,1,1,PGUA
148,2023,1,1,PHKI
149,2023,1,1,PHKM
150,2023,1,1,PHMO
151,2023,1,1,PHWA
152,2023,1,1,RKJK
153,2023,1,1,RODN
154,2023,1,1,TADW
155,2023,1,1,TATL
156,2023,1,1,TBNA
157,2023,1,1,TBOS
158,2023,1,1,TBWI
159,2023,1,1,TCLT
160,2023,1,1,TCMH
161,2023,1,1,TCVG
162,2023,1,1,TDAL
163,2023,1,1,TDAY
164,2023,1,1,TDCA
165,2023,1,1,TDEN
166,2023,1,1,TDTW
167,2023,1,1,TEWR
168,2023,1,1,TFLL
169,2023,1,1,THOU
170,2023,1,1,TIAD
171,2023,1,1,TIAH
172,2023,1,1,TICH
173,2023,1,1,TIDS
174,2023,1,1,TJFK
175,2023,1,1,TJUA
176,2023,1,1,TLAS
177,2023,1,1,TLVE
178,2023,1,1,TMCI
179,2023,1,1,TMCO
180,2023,1,1,TMDW
181,2023,1,1,TMEM
182,2023,1,1,TMIA
183,2023,1,1,TMKE
184,2023,1,1,TMSP
185,2023,1,1,TMSY
186,2023,1,1,TOKC
187,2023,1,1,TORD
188,2023,1,1,TPHL
189,2023,1,1,TPHX
190,2023,1,1,TPIT
191,2023,1,1,TRDU
192,2023,1,1,TSDF
193,2023,1,1,TSJU
194,2023,1,1,TSLC
195,2023,1,1,TSTL
196,2023,1,1,TTPA
197,2023,1,1,TTUL
198,2023,1,2,FOP1
199,2023,1,2,KABR
200,2023,1,2,KABX
201,2023,1,2,KAKQ
202,2023,1,2,KAMA
203,2023,1,2,KAMX
204,2023,1,2,KAPX
205,2023,1,2,KARX
206,2023,1,2,KATX
207,2023,1,2,KBBX
208,2023,1,2,KBGM
209,2023,1,2,KBHX
210,2023,1,2,KBIS
211,2023,1,2,KBLX
212,2023,1,2,KBMX
213,2023,1,2,KBOX
214,2023,1,2,KBRO
215,2023,1,2,KBUF
216,2023,1,2,KBYX
217,2023,1,2,KCAE
218,2023,1,2,KCBW
219,2023,1,2,KCBX
220,2023,1,2,KCCX
221,2023,1,2,KCLE
222,2023,1,2,KCLX
223,2023,1,2,KCRP
224,2023,1,2,KCXX
225,2023,1,2,KCYS
226,2023,1,2,KDAX
227,2023,1,2,KDDC
228,2023,1,2,KDFX
229,2023,1,2,KDGX
230,2023,1,2,KDIX
231,2023,1,2,KDLH
232,2023,1,2,KDMX
233,2023,1,2,KDOX
234,2023,1,2,KDTX
235,2023,1,2,KDVN
236,2023,1,2,KDYX
237,2023,1,2,KEAX
238,2023,1,2,KEMX
239,2023,1,2,KENX
240,2023,1,2,KEOX
241,2023,1,2,KEPZ
242,2023,1,2,KESX
243,2023,1,2,KEVX
244,2023,1,2,KEWX
245,2023,1,2,KEYX
246,2023,1,2,KFCX
247,2023,1,2,KFDR
248,2023,1,2,KFDX
249,2023,1,2,KFFC
250,2023,1,2,KFSD
251,2023,1,2,KFSX
252,2023,1,2,KFTG
253,2023,1,2,KFWS
254,2023,1,2,KGGW
255,2023,1,2,KGJX
256,2023,1,2,KGLD
257,2023,1,2,KGRK
258,2023,1,2,KGRR
259,2023,1,2,KGWX
260,2023,1,2,KGYX
261,2023,1,2,KHDX
262,2023,1,2,KHGX
263,2023,1,2,KHNX
264,2023,1,2,KHTX
265,2023,1,2,KICT
266,2023,1,2,KICX
267,2023,1,2,KILN
268,2023,1,2,KILX
269,2023,1,2,KIND
270,2023,1,2,KINX
271,2023,1,2,KIWA
272,2023,1,2,KIWX
273,2023,1,2,KJAX
274,2023,1,2,KJGX
275,2023,1,2,KJKL
276,2023,1,2,KLBB
277,2023,1,2,KLCH
278,2023,1,2,KLGX
279,2023,1,2,KLIX
280,2023,1,2,KLNX
281,2023,1,2,KLOT
282,2023,1,2,KLRX
283,2023,1,2,KLSX
284,2023,1,2,KLTX
285,2023,1,2,KLVX
286,2023,1,2,KLWX
287,2023,1,2,KLZK
288,2023,1,2,KMAF
289,2023,1,2,KMAX
290,2023,1,2,KMBX
291,2023,1,2,KMHX
292,2023,1,2,KMKX
293,2023,1,2,KMLB
294,2023,1,2,KMOB
295,2023,1,2,KMPX
296,2023,1,2,KMQT
297,2023,1,2,KMRX
298,2023,1,2,KMSX
299,2023,1,2,KMTX
300,2023,1,2,KMUX
301,2023,1,2,KMVX
302,2023,1,2,KMXX
303,2023,1,2,KNKX
304,2023,1,2,KNQA
305,2023,1,2,KOAX
306,2023,1,2,KOHX
307,2023,1,2,KOKX
308,2023,1,2,KOTX
309,2023,1,2,KPAH
310,2023,1,2,KPBZ
311,2023,1,2,KPDT
312,2023,1,2,KPOE
313,2023,1,2,KPUX
314,2023,1,2,KRAX
315,2023,1,2,KRGX
316,2023,1,2,KRIW
317,2023,1,2,KRLX
318,2023,1,2,KRTX
319,2023,1,2,KSFX
320,2023,1,2,KSGF
321,2023,1,2,KSHV
322,2023,1,2,KSJT
323,2023,1,2,KSOX
324,2023,1,2,KSRX
325,2023,1,2,KTBW
326,2023,1,2,KTFX
327,2023,1,2,KTLH
328,2023,1,2,KTLX
329,2023,1,2,KTWX
330,2023,1,2,KTYX
331,2023,1,2,KUDX
332,2023,1,2,KUEX
333,2023,1,2,KVAX
334,2023,1,2,KVBX
335,2023,1,2,KVNX
336,2023,1,2,KVTX
337,2023,1,2,KVWX
338,2023,1,2,KYUX
339,2023,1,2,PACG
340,2023,1,2,PAEC
341,2023,1,2,PAHG
342,2023,1,2,PAKC
343,2023,1,2,PAPD
344,2023,1,2,PGUA
345,2023,1,2,PHKI
346,2023,1,2,PHKM
347,2023,1,2,PHMO
