,ST,City  - Station Code,City,Code
0,SD,ABERDEEN-KABR,ABERDEEN,KABR
1,NM,ALBUQUERQUE-KABX,ALBUQUERQUE,KABX
2,VA,NORFOLK RICH-KAKQ,NORFOLK RICH,KAKQ
3,TX,AMARILLO-KAMA,AMARILLO,KAMA
4,FL,MIAMI-KAMX,MIAMI,KAMX
5,MI,GAYLORD-KAPX,GAYLORD,KAPX
6,WI,LA CROSSE-KARX,LA CROSSE,KARX
7,WA,SEATTLE-KATX,SEATTLE,KATX
8,CA,BEALE AFB-KBBX,BEALE AFB,KBBX
9,NY,BINGHAMTON-KBGM,BINGHAMTON,KBGM
10,CA,EUREKA-KBHX,EUREKA,KBHX
11,ND,BISMARCK-KBIS,BISMARCK,KBIS
12,MT,BILLINGS-KBLX,BILLINGS,KBLX
13,AL,BIRMINGHAM-KBMX,BIRMINGHAM,KBMX
14,MA,BOSTON-KBOX,BOSTON,KBOX
15,TX,BROWNSVILLE-KBRO,BROWNSVILLE,KBRO
16,NY,BUFFALO-KBUF,BUFFALO,KBUF
17,FL,KEY WEST-KBYX,KEY WEST,KBYX
18,SC,COLUMBIA-KCAE,COLUMBIA,KCAE
19,ME,HOULTON-KCBW,HOULTON,KCBW
20,ID,BOISE-KCBX,BOISE,KCBX
21,PA,STATE COLLEGE-KCCX,STATE COLLEGE,KCCX
22,OH,CLEVELAND-KCLE,CLEVELAND,KCLE
23,SC,CHARLESTON-KCLX,CHARLESTON,KCLX
24,OK,ROC FAA REDUNDANT RDA 1-KCRI,ROC FAA REDUNDANT RDA 1,KCRI
25,TX,CORPUS CHRISTI-KCRP,CORPUS CHRISTI,KCRP
26,VT,BURLINGTON-KCXX,BURLINGTON,KCXX
27,WY,CHEYENNE-KCYS,CHEYENNE,KCYS
28,CA,SACRAMENTO-KDAX,SACRAMENTO,KDAX
29,KS,DODGE CITY-KDDC,DODGE CITY,KDDC
30,TX,LAUGHLIN AFB-KDFX,LAUGHLIN AFB,KDFX
31,MS,JACKSON BRANDON-KDGX,JACKSON BRANDON,KDGX
32,NJ,PHILADELPHIA-KDIX,PHILADELPHIA,KDIX
33,MN,DULUTH-KDLH,DULUTH,KDLH
34,IA,DES MOINES-KDMX,DES MOINES,KDMX
35,DE,DOVER AFB-KDOX,DOVER AFB,KDOX
36,MI,DETROIT-KDTX,DETROIT,KDTX
37,IA,DAVENPORT-KDVN,DAVENPORT,KDVN
38,TX,DYESS AFB-KDYX,DYESS AFB,KDYX
39,MO,KANSAS CITY-KEAX,KANSAS CITY,KEAX
40,AZ,TUCSON-KEMX,TUCSON,KEMX
41,NY,ALBANY-KENX,ALBANY,KENX
42,AL,FORT RUCKER-KEOX,FORT RUCKER,KEOX
43,NM,EL PASO-KEPZ,EL PASO,KEPZ
44,NV,LAS VEGAS-KESX,LAS VEGAS,KESX
45,FL,EGLIN AFB-KEVX,EGLIN AFB,KEVX
46,TX,AUSTIN SAN ANTONIO-KEWX,AUSTIN SAN ANTONIO,KEWX
47,CA,EDWARDS-KEYX,EDWARDS,KEYX
48,VA,ROANOKE-KFCX,ROANOKE,KFCX
49,OK,ALTUS AFB-KFDR,ALTUS AFB,KFDR
50,NM,CANNON AFB-KFDX,CANNON AFB,KFDX
51,GA,ATLANTA-KFFC,ATLANTA,KFFC
52,SD,SIOUX FALLS-KFSD,SIOUX FALLS,KFSD
53,AZ,FLAGSTAFF-KFSX,FLAGSTAFF,KFSX
54,CO,DENVER FRONT RANGE AP-KFTG,DENVER FRONT RANGE AP,KFTG
55,TX,DALLAS-KFWS,DALLAS,KFWS
56,MT,GLASGOW-KGGW,GLASGOW,KGGW
57,CO,GRAND JUNCTION-KGJX,GRAND JUNCTION,KGJX
58,KS,GOODLAND-KGLD,GOODLAND,KGLD
59,WI,GREEN BAY-KGRB,GREEN BAY,KGRB
60,TX,FORT HOOD-KGRK,FORT HOOD,KGRK
61,MI,GRAND RAPIDS-KGRR,GRAND RAPIDS,KGRR
62,SC,GREER-KGSP,GREER,KGSP
63,MS,COLUMBUS AFB-KGWX,COLUMBUS AFB,KGWX
64,ME,PORTLAND-KGYX,PORTLAND,KGYX
65,NM,HOLLOMAN AFB-KHDX,HOLLOMAN AFB,KHDX
66,TX,HOUSTON-KHGX,HOUSTON,KHGX
67,CA,SAN JOAQUIN VALLEY-KHNX,SAN JOAQUIN VALLEY,KHNX
68,KY,FORT CAMPBELL-KHPX,FORT CAMPBELL,KHPX
69,AL,HUNTSVILLE-KHTX,HUNTSVILLE,KHTX
70,KS,WICHITA-KICT,WICHITA,KICT
71,UT,CEDAR CITY-KICX,CEDAR CITY,KICX
72,OH,CINCINNATI-KILN,CINCINNATI,KILN
73,IL,LINCOLN-KILX,LINCOLN,KILX
74,IN,INDIANAPOLIS-KIND,INDIANAPOLIS,KIND
75,OK,TULSA-KINX,TULSA,KINX
76,AZ,PHOENIX-KIWA,PHOENIX,KIWA
77,IN,FORT WAYNE-KIWX,FORT WAYNE,KIWX
78,FL,JACKSONVILLE-KJAX,JACKSONVILLE,KJAX
79,GA,ROBINS AFB-KJGX,ROBINS AFB,KJGX
80,KY,JACKSON-KJKL,JACKSON,KJKL
